Frame,CoM_X,CoM_Y,L_Elbow,R_Elbow,Velocity
255,327.76608,1246.2646,122.66115,18.141794,43.363598
256,332.7743,1241.4554,148.18123,7.82812,46.2895
257,338.71622,1237.1471,140.11354,5.0242186,48.9302
258,344.24033,1232.35,118.931274,3.4217744,48.775238
259,349.8966,1227.6078,149.61206,36.05744,49.208122
260,355.6195,1223.0427,167.42741,61.353973,48.80426
261,361.31784,1219.2825,157.07112,48.204712,45.51444
262,367.176,1216.0643,128.16283,38.559338,44.559273
263,373.6067,1213.1974,142.6064,62.979828,46.938812
264,380.53973,1210.2294,172.24553,84.01517,50.277466
265,387.7107,1207.1334,146.59464,93.141205,52.071507
266,395.24524,1204.509,169.84056,114.192154,53.190117
267,402.88104,1202.6788,175.87157,137.09613,52.34715
268,411.01685,1201.1606,178.24542,108.6089,55.17497
269,418.40674,1199.606,176.0241,82.3631,50.344387
270,424.78235,1197.7358,175.42412,72.53482,44.29494
271,431.0418,1196.321,166.64407,87.07788,42.782475
272,436.6443,1194.4207,151.50903,92.50198,39.43985
273,442.28726,1192.8087,169.59048,85.05487,39.12454
274,447.249,1192.0022,80.290276,49.684254,33.512283
275,451.46234,1191.5243,135.2128,36.747864,28.269188
276,455.24738,1190.5338,138.46411,1.3846842,26.083061
277,458.93405,1189.3616,97.446594,38.645496,25.790543
278,462.01877,1188.1355,45.854656,19.851467,22.129612
279,465.22806,1186.7234,36.432987,43.806168,23.37473
280,468.4074,1184.2303,23.369055,79.95459,26.93506
281,471.6008,1181.9458,14.546349,75.90224,26.176426
282,474.61954,1179.3322,3.8163135,70.44809,26.619688
283,477.06705,1177.1064,10.195258,68.78319,22.054905
284,478.6633,1174.4441,15.69451,75.449615,20.694931
285,479.8984,1171.6433,0.2526077,78.78439,20.407417
286,480.97388,1169.3177,11.314966,83.054184,17.081629
287,481.5263,1167.2388,15.921621,78.612274,14.340528
288,481.451,1165.6882,29.982506,73.904625,10.349347
289,481.34152,1164.0457,43.04464,70.33701,10.975458
290,481.15756,1162.0917,37.369446,67.05899,13.084713
291,480.32632,1160.8427,72.96714,67.61962,10.002652
292,479.3011,1159.6875,127.50427,79.477264,10.296883
293,478.4828,1158.7593,153.35152,105.483475,8.24954
294,477.33884,1157.9495,162.2926,104.96976,9.344433
295,475.53802,1157.4944,149.94528,90.52435,12.382977
296,473.2304,1157.7437,153.80379,96.81943,15.47366
297,471.10468,1156.9512,147.6185,107.32718,15.12441
298,468.01135,1155.7021,144.47171,105.23854,22.239769
299,464.56488,1154.6116,144.22304,103.36261,24.099493
300,461.8256,1153.8268,146.10854,103.27991,18.996742
301,459.58557,1154.0697,153.26077,102.5022,15.020947
302,456.96228,1154.9467,149.74794,105.86987,18.439903
303,454.30658,1156.2747,154.30902,98.57376,19.794907
304,450.91797,1156.7534,166.70213,91.216705,22.815172
305,447.0487,1156.3835,167.77466,82.943726,25.912807
306,442.76328,1156.2455,162.22868,76.17291,28.584589
307,438.08994,1156.1774,146.95052,58.633606,31.15892
308,432.96625,1155.6034,143.01695,53.718414,34.37177
309,428.84695,1154.3707,158.40785,53.555542,28.665262
310,424.69287,1153.3324,151.15877,42.531406,28.546104
311,421.04474,1152.1907,155.61398,52.47824,25.484272
312,417.6294,1151.7817,147.18335,12.44638,22.931652
313,415.2432,1151.8549,142.52342,34.213345,15.915418
314,413.56088,1152.4626,144.13493,61.745697,11.924842
315,412.8741,1152.81,157.20224,75.21887,5.130974
316,411.29166,1153.5634,142.99797,75.98425,11.684009
317,408.9182,1154.4275,155.96902,75.41281,16.83906
318,406.65512,1155.8743,142.02596,64.599915,17.907005
319,405.4801,1156.8624,151.31213,71.99902,10.235113
320,403.22464,1158.9602,69.468506,44.650543,20.534986
321,401.5432,1160.4414,91.04526,43.642395,14.938296
322,400.16696,1160.2397,131.48923,67.09592,9.273195
323,399.04883,1161.1108,145.34843,67.77469,9.449661
324,397.9103,1161.2146,139.46568,24.634073,7.621741
325,397.6797,1159.9849,159.61755,38.423405,8.341682
326,397.46442,1159.4685,159.18512,12.684658,3.7300274
327,397.122,1159.7571,110.014015,8.290142,2.985045
328,397.0181,1159.8842,99.31145,11.899364,1.0940826
329,397.11887,1159.7734,113.51042,12.004276,0.99825233
330,397.11337,1158.5607,76.16694,35.100826,8.085289
331,397.8855,1156.719,81.621544,84.10994,13.3137245
332,398.85083,1154.7936,87.772354,79.31817,14.35902
333,400.31778,1152.9862,101.427795,76.47067,15.518855
334,401.97086,1151.945,155.35896,98.5123,13.02487
335,403.33502,1151.2712,137.13272,109.7621,10.143439
336,405.2437,1150.1447,176.16296,120.54292,14.775812
337,407.72528,1149.8698,166.21873,128.99962,16.64502
338,410.3935,1148.5835,163.02191,130.74458,19.74739
339,413.73175,1145.6263,155.78598,142.48769,29.731298
340,415.94238,1144.1714,138.3073,153.77034,17.643244
341,418.0983,1142.3444,133.50081,154.60313,18.839918
342,420.61234,1141.3689,113.13643,153.5382,17.97749
343,423.30508,1140.6265,103.32572,160.3127,18.621298
344,426.33057,1139.4282,90.54178,159.18845,21.694088
345,429.60748,1138.1621,56.54297,154.04143,23.419989
346,433.29382,1136.764,34.564125,152.52095,26.283794
347,436.6711,1135.9218,23.264826,153.90244,23.2047
348,440.1159,1135.0264,22.641817,156.93262,23.72834
349,443.4856,1134.0947,30.101059,163.79774,23.307371
350,446.58414,1133.3523,47.266888,168.75557,21.241455
351,449.4993,1133.132,124.086494,160.15436,19.489805
352,451.9906,1133.3342,146.2945,156.55692,16.663177
353,453.8039,1134.0217,114.86862,162.48064,12.928044
354,455.85123,1134.4529,152.88892,159.40263,13.948197
355,456.19867,1135.1774,128.52985,173.30225,5.3565087
356,456.52472,1136.1461,98.3302,170.50192,6.81373
357,456.67184,1137.4232,59.321167,165.84595,8.569725
358,457.14124,1138.8237,47.97357,153.7928,9.846954
359,456.96863,1140.8057,54.46568,155.33551,13.263038
360,455.9761,1142.3994,174.18083,150.48663,12.516524
361,454.65958,1143.6975,164.7581,152.13019,12.325585
362,453.27365,1143.9973,87.13128,153.15883,9.453347
363,451.28476,1144.1489,77.81231,154.1084,13.297873
364,448.61026,1145.2004,151.58229,156.25989,19.15886
365,445.54193,1145.3412,65.97325,156.26054,20.477152
366,441.53018,1145.9126,174.07002,153.44398,27.014956
367,437.4381,1146.2845,145.05846,155.0363,27.392973
368,432.91724,1146.8955,173.12215,153.6475,30.413368
369,428.68777,1147.4844,132.04572,155.7689,28.468573
370,424.02957,1148.6989,176.82611,154.79042,32.092735
371,419.44803,1149.9457,178.04724,150.06296,31.65441
372,414.73422,1150.6813,179.40506,152.79457,31.805656
373,410.20804,1150.2957,178.1765,153.35373,30.28407
374,405.29837,1150.2124,179.95314,149.1204,32.736034
375,400.90085,1150.9965,176.38388,149.65814,29.77924
376,396.47723,1152.2388,178.15689,153.0733,30.631327
377,392.71207,1154.2761,170.71921,157.5406,28.540234
378,388.43945,1154.8756,161.1747,150.48694,28.76313
379,384.75882,1153.2805,163.75491,153.65977,26.742851
380,380.5536,1154.6909,167.12938,152.32985,29.569845
381,377.57196,1153.4636,164.0015,153.3152,21.495747
382,374.86853,1155.2927,167.08824,148.21463,21.760685
383,373.15314,1157.267,163.8011,146.51079,17.435907
384,371.55014,1158.3685,163.59958,149.42566,12.966741
385,372.2564,1160.0568,154.43262,151.93748,12.19987
386,375.53763,1160.789,160.09634,146.81592,22.412518
387,379.71454,1160.513,162.96893,147.04477,27.90681
388,382.65424,1159.0354,166.15907,149.33772,21.934204
389,386.33932,1158.209,172.5909,147.16985,25.17739
390,390.318,1156.762,172.0281,148.03928,28.22421
391,394.3642,1154.723,177.5571,149.54715,30.205845
392,398.19098,1151.5964,161.1562,155.37988,32.94452
393,402.1769,1148.5623,165.02065,151.17552,33.396095
394,406.4252,1145.7883,168.9925,152.06494,33.824734
395,410.4393,1142.7112,120.90004,152.36133,33.71886
396,414.3167,1141.5188,127.97336,150.2301,27.04388
397,418.9273,1139.1598,159.83139,156.69987,34.526928
398,423.08673,1136.9492,150.86305,165.10468,31.40239
399,426.8902,1134.6062,152.10324,146.73334,29.781559
400,430.4331,1131.5681,142.8924,149.7876,31.114353
401,433.3681,1125.2057,136.5737,160.8088,46.711815
402,436.21185,1117.9814,140.92311,165.01035,51.75911
403,438.8258,1114.7727,144.76755,163.32434,27.591032
404,441.19086,1113.5394,150.2473,162.13686,17.781944
405,443.42004,1113.6321,147.08636,160.44716,14.874093
406,445.37582,1113.4185,157.97357,164.85359,13.116135
407,447.21567,1116.8824,166.60495,154.40236,26.148382
408,449.10004,1120.3447,168.06477,155.53145,26.278946
409,450.34454,1123.031,173.25241,156.25038,19.736614
410,451.1324,1124.8933,171.39096,155.10287,13.480263
411,452.35748,1127.5159,161.01271,149.8,19.297215
412,454.2593,1128.2963,170.06549,149.4831,13.7047415
413,456.3142,1128.6549,174.01428,148.1843,13.906376
414,458.12958,1127.3347,173.61896,156.81564,14.964678
415,459.9614,1126.0981,174.53745,165.41542,14.734601
416,461.3791,1124.667,172.33836,155.64706,13.429959
417,461.80695,1124.471,170.17789,148.35013,3.1375146
418,462.54785,1123.8416,171.26743,146.81049,6.481367
419,463.30685,1123.0952,172.34235,148.71698,7.096502
420,464.08618,1122.222,170.44942,149.52165,7.80256
421,464.63116,1120.6448,169.1,155.60263,11.125131
422,465.36053,1118.4626,170.53465,158.44283,15.338963
423,466.1122,1117.3855,173.42947,151.61404,8.7572565
424,466.86926,1117.2339,172.55203,143.3226,5.147181
425,467.97952,1116.7318,163.85976,144.34041,8.123251
426,469.00992,1116.8822,86.76082,149.01236,6.9420743
427,469.9981,1117.1229,69.37934,145.84804,6.780228
428,471.49173,1117.6027,155.80228,145.91504,10.458228
429,473.20093,1118.2549,25.242588,150.43439,12.195811
430,474.51926,1119.384,11.022163,150.72954,11.571518
431,475.33215,1120.3488,166.5287,156.34138,8.410053
432,476.806,1121.7913,156.9508,162.24248,13.748548
433,477.4218,1121.979,136.64784,154.21988,4.291792
434,477.80914,1121.9994,62.0186,150.07338,2.5856643
435,477.6336,1121.3739,57.636963,149.13402,4.331391
436,476.6379,1120.1143,159.4436,145.65417,10.705008
437,476.13525,1119.1741,159.23334,143.91965,7.1078563
438,474.94385,1118.6292,159.61261,148.13664,8.734289
439,472.7422,1117.2993,163.50813,150.6201,17.14758
440,470.2206,1116.0532,162.47563,151.43332,18.751295
441,467.80368,1114.759,164.21156,151.86952,18.27759
442,466.02478,1114.1624,145.54211,149.51738,12.509095
443,464.2673,1113.5568,159.85088,149.70657,12.392612
444,462.52216,1113.0548,163.08543,151.60416,12.10626
445,460.90997,1111.9736,162.58192,153.11829,12.941376
446,459.7423,1111.3196,161.58112,152.09619,8.922652
447,458.8804,1110.6018,163.19365,154.37648,7.477967
448,457.67163,1109.2964,161.26476,154.17163,11.861133
449,456.45535,1108.1128,157.00996,154.21135,11.314562
450,455.484,1106.9948,160.82407,155.88184,9.873576
451,454.4933,1106.2944,151.60986,155.66457,8.088341
452,453.59177,1105.303,134.44093,153.80054,8.933595
453,453.0804,1105.3665,110.88248,157.34018,3.435152
454,452.79913,1105.3906,47.48947,158.06392,1.8822244
455,453.06268,1106.0594,61.090298,157.17183,4.7925887
456,453.64532,1106.404,142.83736,159.69432,4.5126657
457,454.75348,1105.9147,151.29718,158.69154,8.076027
458,456.34625,1105.187,177.59802,152.04991,11.674366
459,459.2741,1103.4304,175.85849,160.69415,22.762365
460,463.171,1101.9718,149.43175,173.92229,27.739557
461,464.71338,1100.3674,140.47571,162.6654,14.837281
462,465.68765,1099.1978,147.91975,155.07108,10.148583
463,466.707,1095.5176,135.80978,154.7971,25.458641
464,467.7292,1092.2565,154.00833,145.60062,22.783487
465,469.43573,1088.8807,136.29134,148.09926,25.217398
466,471.26172,1086.3689,139.93195,145.99155,20.70263
467,473.28534,1084.2803,153.87354,152.42256,19.387657
468,475.26886,1082.4604,157.49594,151.49532,17.945787
469,476.67834,1080.7457,147.38786,148.6047,14.798187
470,478.00635,1078.679,137.06348,146.29097,16.378187
471,479.49008,1076.3444,131.97708,150.37941,18.441576
472,479.85907,1072.824,134.72032,143.44878,23.598637
473,480.89703,1067.5823,120.676765,169.62112,35.62325
474,480.21243,1061.2595,105.99969,123.048874,42.398224
475,479.51196,1055.6005,163.15681,92.838104,38.015446
476,479.21228,1051.679,120.994835,161.8613,26.219795
477,478.1076,1048.2739,127.01555,146.757,23.864733
478,476.35626,1044.4844,118.32497,153.39737,27.831198
479,473.70465,1041.605,116.986084,148.69128,26.09569
480,470.8886,1039.0165,136.8062,154.57568,25.500282
481,468.40308,1036.9163,127.08786,159.49011,21.693748
482,465.02826,1035.4363,123.98875,154.87271,24.567345
483,462.17896,1034.0955,129.55627,154.15045,20.993362
484,460.10327,1032.8899,113.279594,160.79079,16.002844
485,458.55634,1031.9597,106.019424,161.59055,12.033997
486,456.8373,1028.9635,113.71531,153.32819,23.029024
487,455.1109,1027.8481,147.17809,153.60562,13.702634
488,453.7338,1027.3956,124.72102,147.75362,9.6637945
489,452.4078,1027.3171,106.49087,146.33298,8.855519
490,450.46356,1028.2606,137.80772,151.9354,14.407139
491,447.09546,1027.5759,169.13933,142.0924,22.91357
492,443.51587,1027.4076,163.38391,137.11201,23.890469
493,440.34006,1028.0931,171.76103,136.84828,21.65977
494,437.37094,1028.6345,166.4128,136.46498,20.120457
495,435.6801,1029.3622,168.41301,133.95515,12.271936
496,435.39008,1029.1353,143.34155,136.58585,2.4552062
497,435.5163,1029.0443,142.04137,139.05617,1.0372484
498,436.50366,1028.4788,141.44199,134.99612,7.5856547
499,438.27753,1027.1743,138.04639,135.21819,14.678934
500,440.55737,1025.5251,139.07721,131.04588,18.75848
501,443.14062,1023.95886,126.27178,133.15219,20.139818
502,446.07886,1021.4012,93.62757,124.421295,25.969986
503,448.09088,1020.2777,141.97798,117.035,15.3630295
504,450.43042,1018.5781,97.403114,120.53609,19.27804
505,452.93384,1016.8407,82.734116,121.25774,20.315086
506,455.5258,1015.1554,69.20407,124.72475,20.611176
507,458.80145,1013.98645,78.97984,139.77248,23.186409
508,462.40973,1011.6464,74.94669,148.12062,28.670914
